id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,assist,qualifier/9/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,teamName
2729188349,14,1,1,0,53,agh9ifb2mw3ivjusgedj7c3fe,1,55.6,82.4,2024-10-01T19:01:43.901Z,2024-10-02T05:50:41Z,5259512867,141,94.5,5260594189,178,,5259512863,56,Left,5259512865,140,68.6,5259512869,212,15.9,5259512871,213,0.54,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2729188393,15,1,1,0,59,agh9ifb2mw3ivjusgedj7c3fe,1,80.5,88.1,2024-10-01T19:01:49.952Z,2024-10-02T05:50:45Z,5259513097,212,11.3,5259513091,56,Left,5259513099,213,3.21,5260594215,178,,5259513095,141,86.9,5259513093,140,69.8,,,,,,,afxjicw89683nlpms9yy5x51x,Robert Lewandowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2729188425,16,1,1,1,1,agh9ifb2mw3ivjusgedj7c3fe,1,69.8,86.9,2024-10-01T19:01:51.913Z,2024-10-02T05:50:50Z,5259513309,212,6.8,5259513303,140,65,5259513305,141,80.2,5259513301,56,Left,5260594237,178,,5259513313,213,3.88,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2729188487,17,1,1,1,2,agh9ifb2mw3ivjusgedj7c3fe,1,65,80.2,2024-10-01T19:01:53.073Z,2024-10-02T05:50:56Z,5259513629,140,55.2,5259513631,141,69.4,5260594271,178,,5259513639,213,3.76,5259513627,56,Center,5259513635,212,12.6,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2729188541,18,1,1,1,3,agh9ifb2mw3ivjusgedj7c3fe,1,55.2,69.4,2024-10-01T19:01:54.414Z,2024-10-02T05:51:02Z,5259514007,212,23.3,5259514001,56,Center,5260594295,178,,5259514003,140,59.3,5259514005,141,35.8,5259514009,213,4.9,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Inigo Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2729188611,19,1,1,1,6,agh9ifb2mw3ivjusgedj7c3fe,1,59.3,35.4,2024-10-01T19:01:57.072Z,2024-10-02T05:51:04Z,5259514361,141,12.3,5259514357,56,Right,5259514363,212,16.7,5259514365,213,5.06,5260594313,178,,5259514359,140,64.8,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2729188683,20,1,1,1,9,agh9ifb2mw3ivjusgedj7c3fe,1,63.4,10.1,2024-10-01T19:01:59.509Z,2024-10-02T05:51:10Z,5259514671,56,Center,5259514677,212,9.8,5259514673,140,58.6,5259514675,141,22.5,5260594351,178,,5259514679,213,2.11,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Kounde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2729188783,21,1,1,1,11,agh9ifb2mw3ivjusgedj7c3fe,1,60,24,2024-10-01T19:02:01.742Z,2024-10-02T05:51:14Z,5259515269,212,26.5,5259515265,141,62.9,5259515257,56,Center,5260594383,178,,5259515261,140,58.4,5259515273,213,1.63,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2729188923,22,1,1,1,14,agh9ifb2mw3ivjusgedj7c3fe,1,60,66,2024-10-01T19:02:05.022Z,2024-10-02T05:51:19Z,5259516083,212,23.1,5259516085,213,0.99,5259516079,140,72,5260594405,178,,5259516081,141,94.5,5259516077,56,Left,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Inigo Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2729188991,23,1,1,1,20,agh9ifb2mw3ivjusgedj7c3fe,1,74.9,92.6,2024-10-01T19:02:10.654Z,2024-10-02T05:51:22Z,5259516461,56,Left,5259516467,212,13.5,5259516465,141,84.7,5260594437,178,,5259516463,140,63.1,5259516469,213,3.55,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
