id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/15/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/18/value,teamName
2767664731,23,1,1,0,54,agh9ifb2mw3ivjusgedj7c3fe,1,12.1,77.2,2025-01-21T20:02:35.234Z,2025-01-22T05:05:47Z,5468970727,141,95.7,5469452835,178,,5468970723,56,Back,5468970729,212,13.2,5468970731,213,1.26,5468970725,140,16,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664747,24,1,1,0,56,agh9ifb2mw3ivjusgedj7c3fe,1,18.2,89.1,2025-01-21T20:02:37.350Z,2025-01-22T05:05:55Z,5468970807,56,Back,5469452875,178,,5468970811,141,80.2,5468970809,140,18.2,5468970815,213,4.71,5468970813,212,6.1,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664799,25,1,1,0,57,agh9ifb2mw3ivjusgedj7c3fe,1,19.2,78.1,2025-01-21T20:02:38.552Z,2025-01-22T05:06:01Z,5468971061,140,32.6,5468971063,141,79,5468971065,212,14.1,5468971069,213,0.04,5469452935,178,,5468971059,56,Back,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664835,26,1,1,1,1,agh9ifb2mw3ivjusgedj7c3fe,1,45,70.9,2025-01-21T20:02:42.790Z,2025-01-22T05:06:14Z,5468971239,141,49.6,5468971235,140,52.1,5468971245,213,5.19,5469452991,178,,5468971231,56,Center,5468971241,212,16.3,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664979,27,1,1,1,4,agh9ifb2mw3ivjusgedj7c3fe,1,54.3,40.9,2025-01-21T20:02:45.756Z,2025-01-22T05:06:34Z,5468972021,140,67.5,5468972029,212,27.7,5468972031,213,5.24,5468972025,141,5.6,5468972017,56,Right,5469453089,178,,5468972439,210,15,,,,eb3ci3a120om80v80mobsus8a,Gavi,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767664983,28,15,1,1,11,agh9ifb2mw3ivjusgedj7c3fe,1,75.3,28.2,2025-01-21T20:02:52.923Z,2025-01-22T05:06:48Z,5468972455,103,3.8,5468974965,133,,5468972461,147,49.5,5469453125,178,,5468972449,55,27,5468972189,72,,5468972447,29,,5468972035,22,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,5468972453,102,48,5468972479,233,12,5468972459,146,97.5,5468972457,215,5468972445,80,5468972039,56,Center,5468972037,18,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2767665003,12,10,1,1,12,9ldqu49smv1xg2va0n2cy28zl,1,1.9,52.5,2025-01-21T20:02:53.935Z,2025-01-22T05:06:56Z,5468972279,180,,5469378659,376,,5468972277,177,,5468972499,233,28,5468972145,56,Back,5468972143,182,,,,,,,,3i53phcjc5vwe7i0m9pqjo3fu,A. Trubin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benfica
2767665033,13,52,1,1,12,9ldqu49smv1xg2va0n2cy28zl,1,1.9,52.5,2025-01-21T20:02:53.948Z,2025-01-22T05:07:00Z,5469378687,376,,5469453149,178,,,,,,,,,,,,,,,,,,,,3i53phcjc5vwe7i0m9pqjo3fu,A. Trubin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benfica
2767665245,14,80,1,1,28,9ldqu49smv1xg2va0n2cy28zl,0,9.5,52.5,2025-01-21T20:03:09.159Z,2025-01-22T05:07:39Z,5469453283,178,,,,,,,,,,,,,,,,,,,,,,,3i53phcjc5vwe7i0m9pqjo3fu,A. Trubin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benfica
2767665311,15,1,1,1,28,9ldqu49smv1xg2va0n2cy28zl,1,9.6,52.2,2025-01-21T20:03:09.498Z,2025-01-22T05:07:45Z,5468973667,140,60.8,5469026351,155,,5468973669,141,44.8,5469453299,178,,5468973671,212,54,5468973665,56,Center,5468973675,1,,5468973673,213,6.19,3i53phcjc5vwe7i0m9pqjo3fu,A. Trubin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benfica
