id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/9/value,keyPass,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/20/value,qualifier/19/value,qualifier/21/value,teamName
2743748803,10,3,1,1,25,c8llrezkm3b3op4afrou6b487,0,66.7,96.6,2024-11-03T15:19:41.816Z,2024-11-04T01:11:58Z,5338999815,211,,5338999813,286,,5340640399,465,,5341365099,178,,5338999811,56,Left,,,,,,,,,,e5qp6dh1prc55llew51zpy1gp,Javi Puado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espanyol
2743748785,19,49,1,1,28,agh9ifb2mw3ivjusgedj7c3fe,1,34.9,5.5,2024-11-03T15:19:44.429Z,2024-11-04T01:12:04Z,,,,,,,,,,,,,,,,,,,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743748877,20,1,1,1,31,agh9ifb2mw3ivjusgedj7c3fe,1,10.4,6.2,2024-11-03T15:19:47.586Z,2024-11-04T01:12:17Z,5341365581,178,,5339000243,212,10.1,5339000245,213,1.14,5339000241,141,19.7,5339000237,56,Back,5339000239,140,14.4,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743748913,21,1,1,1,32,agh9ifb2mw3ivjusgedj7c3fe,1,14.4,19.7,2024-11-03T15:19:48.676Z,2024-11-04T01:12:23Z,5339000413,56,Back,5339000415,140,25.1,5339000421,212,15,5341365747,178,,5339000417,141,5,5339000423,213,5.56,,,,,,,3hht0os2uzu234yq550i3fbe2,Marc Casadó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743748937,11,43,1,1,35,c8llrezkm3b3op4afrou6b487,1,0,0,2024-11-03T15:19:51.423Z,2024-11-03T15:43:17Z,5339158911,144,45,5339000625,233,22,5339000527,56,Left,5339000529,286,0,,,,,,,,,,,,,1whtyw1adggpz4j1xp7sjbeg9,Álvaro Aguado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espanyol
2743748931,22,43,1,1,35,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-11-03T15:19:51.423Z,2024-11-03T15:43:37Z,5339161361,144,3,5339000519,285,0,5339000517,56,Back,,,,,,,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743749029,23,1,1,1,36,agh9ifb2mw3ivjusgedj7c3fe,1,14.7,14.4,2024-11-03T15:19:52.485Z,2024-11-04T01:12:29Z,5339001053,141,49,5339001061,213,1.92,5339001049,56,Back,5339001051,140,6.6,5339001057,212,25,5341365897,178,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743749151,24,1,1,1,39,agh9ifb2mw3ivjusgedj7c3fe,1,8.4,51.2,2024-11-03T15:19:55.954Z,2024-11-04T01:12:32Z,5339001689,140,15.9,5339001691,141,72.1,5339001687,56,Back,5341365959,178,,5339001695,213,1.06,5339001693,212,16.2,,,,,,,4mxx1oxkiexm0ha34utcmb17t,Iñaki Peña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743749183,25,1,1,1,46,agh9ifb2mw3ivjusgedj7c3fe,1,36.1,70,2024-11-03T15:20:02.728Z,2024-11-04T01:12:34Z,5341366033,178,,5339001871,140,42.3,5339001879,213,5.59,5339001877,212,8.4,5339001869,56,Back,5339001873,141,62.1,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743749235,26,1,1,1,48,agh9ifb2mw3ivjusgedj7c3fe,1,42.3,62.1,2024-11-03T15:20:04.656Z,2024-11-04T01:12:38Z,5339002115,213,2.3,5339002113,212,7.9,5341366149,178,,5339002107,56,Back,5339002109,140,37.3,5339002111,141,70.8,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743749303,27,1,1,1,50,agh9ifb2mw3ivjusgedj7c3fe,1,42.3,71.8,2024-11-03T15:20:06.770Z,2024-11-04T01:12:42Z,5339002469,212,5.2,5339002467,141,76.7,5339002471,213,0.7,5341366299,178,,5339002465,140,46.1,5339002463,56,Back,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743749413,28,1,1,1,53,agh9ifb2mw3ivjusgedj7c3fe,1,45.9,68.5,2024-11-03T15:20:09.861Z,2024-11-04T01:12:46Z,5339003035,141,36,5339003009,56,Back,5339003015,140,43.4,5339003039,213,4.59,5339003037,212,22.3,5341366389,178,,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743749431,29,1,1,1,58,agh9ifb2mw3ivjusgedj7c3fe,1,53.6,27.9,2024-11-03T15:20:14.524Z,2024-11-04T01:12:50Z,5339003147,213,0.08,5339003139,56,Center,5339003141,140,61.1,5341366463,178,,5339003143,141,28.8,5339003145,212,7.9,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2743749459,30,1,1,1,58,agh9ifb2mw3ivjusgedj7c3fe,1,61.1,28.8,2024-11-03T15:20:15.094Z,2024-11-04T01:12:57Z,5339003279,56,Center,5339003281,140,53.5,5339003287,213,3.27,5341366649,178,,5339003283,141,27.3,5339003285,212,8,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
