id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,teamName
2759826035,20,1,1,1,12,agh9ifb2mw3ivjusgedj7c3fe,1,31.7,58.4,2024-12-15T20:03:33.170Z,2024-12-16T06:22:53Z,5426516439,140,33.6,5426516443,212,13.7,5426516441,141,38.5,5426516437,56,Back,5426516445,213,4.86,5427156641,178,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2759826065,21,1,1,1,15,agh9ifb2mw3ivjusgedj7c3fe,1,33.6,38.5,2024-12-15T20:03:35.380Z,2024-12-16T06:22:57Z,5426516557,213,5.01,5427156661,178,,5426516543,56,Back,5426516545,140,39.2,5426516549,141,9.8,5426516553,212,20.4,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2759826123,22,1,1,1,19,agh9ifb2mw3ivjusgedj7c3fe,1,38.6,9.1,2024-12-15T20:03:39.314Z,2024-12-16T06:23:05Z,5426516875,1,,5427156715,178,,5426516865,56,Back,5426516869,141,27.7,5426516871,212,39.9,5426516873,213,2.82,5426516867,140,2.6,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2759826161,23,1,1,1,23,agh9ifb2mw3ivjusgedj7c3fe,1,3,27.1,2024-12-15T20:03:43.713Z,2024-12-16T06:23:13Z,5426517107,141,55.8,5427156785,178,,5426517111,213,0.4,5426517105,140,46.7,5426517109,212,49.9,5426517113,1,,5426517101,157,,5426517103,56,Back,4mxx1oxkiexm0ha34utcmb17t,Iñaki Peña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2759826163,24,61,1,1,26,agh9ifb2mw3ivjusgedj7c3fe,0,46.7,55.8,2024-12-15T20:03:46.407Z,2024-12-16T06:23:20Z,5427156845,178,,5427156843,21,,5426517123,56,Back,,,,,,,,,,,,,,,,afxjicw89683nlpms9yy5x51x,Robert Lewandowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2759826201,15,1,1,1,27,3krm0f4yr1l80j1sd7823f9xn,1,50.8,43.3,2024-12-15T20:03:47.506Z,2024-12-16T06:23:25Z,5427156909,178,,5426517307,213,5.8,5426517301,140,65.1,5426517303,141,31.8,5426517299,56,Center,5426517305,212,16.9,,,,,,,dvyl5rfgfkoplnwrs73rkidhx,Sergio González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leganes
2759826203,16,49,1,1,28,3krm0f4yr1l80j1sd7823f9xn,1,65.1,31.8,2024-12-15T20:03:49.176Z,2024-12-16T06:23:33Z,,,,,,,,,,,,,,,,,,,,,,,,,entqiwoor6dhwqcg5s82krfth,M. El Haddadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leganes
2759826235,17,1,1,1,28,3krm0f4yr1l80j1sd7823f9xn,1,65.1,31.8,2024-12-15T20:03:49.211Z,2024-12-16T06:23:40Z,5426517517,212,5.5,5426517515,141,37.9,5426517519,213,2.28,5427157109,178,,5426517511,56,Center,5426517513,140,61.7,,,,,,,entqiwoor6dhwqcg5s82krfth,M. El Haddadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leganes
2759826253,18,1,1,1,29,3krm0f4yr1l80j1sd7823f9xn,1,62.6,36.1,2024-12-15T20:03:49.944Z,2024-12-16T06:23:44Z,5427157143,178,,5426517607,140,66.7,5426517609,141,12,5426517613,213,4.97,5426517605,56,Right,5426517611,212,16.9,,,,,,,bxzhhmig5if9pznqa0fgxlyei,S. Cissé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leganes
2759826263,19,3,1,1,33,3krm0f4yr1l80j1sd7823f9xn,0,71.8,21.4,2024-12-15T20:03:53.716Z,2024-12-16T06:23:50Z,5426517659,56,Center,5426967471,465,,5426517775,233,25,5426517661,286,,5427157183,178,,,,,,,,,,,9p87liko3b1jjpjmi19135y0a,Adrià Alti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leganes
