id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,assist,qualifier/20/value,teamName
2766679787,14,7,1,1,26,1n1j0wsl763lq7ee1k0c11c02,1,98.2,4.2,2025-01-18T20:03:24.040Z,2025-01-19T08:59:12Z,5463640121,233,16,5463640111,56,Right,5463640109,167,,5464458105,178,,5463640113,286,,5464083219,385,,,,,,,,5lzbyj5i0cotpry4gneap8c89,Juan Iglesias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2766679801,15,5,1,1,27,1n1j0wsl763lq7ee1k0c11c02,0,95,-2,2025-01-18T20:03:25.014Z,2025-01-19T08:59:17Z,5463640983,233,17,5463640205,347,,5463640203,56,Right,,,,,,,,,,,,,,,,5lzbyj5i0cotpry4gneap8c89,Juan Iglesias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2766679933,17,5,1,1,27,agh9ifb2mw3ivjusgedj7c3fe,1,5,102,2025-01-18T20:03:25.014Z,2025-01-19T08:59:18Z,5463640957,56,Back,5463640975,233,15,5463640959,347,,,,,,,,,,,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2766679949,18,1,1,1,46,agh9ifb2mw3ivjusgedj7c3fe,1,7,100,2025-01-18T20:03:44.823Z,2025-01-19T08:59:54Z,5463641055,213,5.88,5463641045,56,Back,5463641051,141,94.4,5463641053,212,12.6,5463641043,107,,5463641049,140,18,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2766680089,18,83,1,1,48,1n1j0wsl763lq7ee1k0c11c02,0,72.4,5.8,2025-01-18T20:03:46.364Z,2025-01-19T09:00:01Z,5463641929,399,afxjicw89683nlpms9yy5x51x,,,,,,,,,,,,,,,,,,,,,,5lzbyj5i0cotpry4gneap8c89,Juan Iglesias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2766679953,19,1,1,1,48,agh9ifb2mw3ivjusgedj7c3fe,0,17.1,94.2,2025-01-18T20:03:46.631Z,2025-01-19T09:00:06Z,5463641139,236,,5464458369,178,,5463641079,213,3.14,5463641077,212,1.3,5463641141,233,16,5463641073,140,15.9,5463641145,286,,5463641075,141,94.2,afxjicw89683nlpms9yy5x51x,Robert Lewandowski,5463641071,56,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2766679959,16,74,1,1,48,1n1j0wsl763lq7ee1k0c11c02,1,86,6.4,2025-01-18T20:03:46.803Z,2025-01-19T09:00:11Z,5463641105,285,,5463641163,233,19,5463641101,56,Right,5464458399,178,,,,,,,,,,,,,,eiqt71z69beq7akuhot0foset,Carles Aleñá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2766679967,17,5,1,1,49,1n1j0wsl763lq7ee1k0c11c02,0,78.3,-1.5,2025-01-18T20:03:47.805Z,2025-01-19T09:00:15Z,5463641975,233,20,5463641175,347,,5463641173,56,Right,,,,,,,,,,,,,,,,eiqt71z69beq7akuhot0foset,Carles Aleñá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getafe
2766680131,20,5,1,1,49,agh9ifb2mw3ivjusgedj7c3fe,1,21.7,101.5,2025-01-18T20:03:47.805Z,2025-01-19T09:00:16Z,5463641917,56,Back,5463641919,347,,5463641965,233,17,,,,,,,,,,,,,,,,afxjicw89683nlpms9yy5x51x,Robert Lewandowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2766680169,21,1,1,2,8,agh9ifb2mw3ivjusgedj7c3fe,0,15.3,100,2025-01-18T20:04:06.275Z,2025-01-19T09:00:21Z,5463642165,56,Back,5463642171,212,11.8,5463642173,213,5.66,5463642163,107,,5463642167,140,24.4,5463642169,141,91.8,,,,,,,bzgh5psb1janz9y3btpswngbu,Alejandro Balde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
