id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,teamName
2739510965,14,1,1,1,8,3kq9cckrnlogidldtdie2fkbl,1,43.4,27,2024-10-26T19:02:54.254Z,2024-10-27T08:10:53Z,5315939303,212,24.6,5315939305,213,1.52,5315939297,56,Back,5317784889,178,,5315939299,140,44.6,5315939295,155,,5315939301,141,63.2,,,,e83ula4wockmc2xid7185kcq2,J. Bellingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2739510991,15,1,1,1,11,3kq9cckrnlogidldtdie2fkbl,1,44.9,63.6,2024-10-26T19:02:57.571Z,2024-10-27T08:11:01Z,5315939441,212,20.5,5315939437,140,42.4,5315939435,56,Back,5315939443,213,1.7,5315939439,141,93.5,5317785235,388,,5315939433,3,,,,,aipyotc87m5bdvmvizd5n69k9,A. Tchouaméni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2739511005,16,1,1,1,14,3kq9cckrnlogidldtdie2fkbl,1,42.4,94.4,2024-10-26T19:03:00.121Z,2024-10-27T08:11:04Z,5315939525,56,Left,5315939529,141,83.2,5315939531,212,19.4,5315939533,213,5.88,5317785391,178,,5315939527,140,59.4,,,,,,,6q69l3ppqfqbryjubcrujfi6t,F. Mendy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2739511045,17,2,1,1,15,3kq9cckrnlogidldtdie2fkbl,1,52.3,86.3,2024-10-26T19:03:01.961Z,2024-10-27T08:11:09Z,5315939773,56,Center,5317785619,178,,5315940411,7,5e9ilgrz3tzg9kd1gk3yvrahh,5315939775,140,63.4,5315939777,141,74,,,,,,,,,,en2c7z1raqmcwee78297pbnu2,E. Camavinga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2739511081,17,55,1,1,15,agh9ifb2mw3ivjusgedj7c3fe,1,40,12.5,2024-10-26T19:03:01.962Z,2024-10-27T08:11:09Z,,,,,,,,,,,,,,,,,,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2739511049,18,43,1,1,20,3kq9cckrnlogidldtdie2fkbl,1,0,0,2024-10-26T19:03:06.743Z,2024-10-26T19:03:21Z,5315940489,144,39,5315939807,64,0,5315939815,252,0,5315939805,22,0,5315939809,56,Center,,,,,,,,,,5e9ilgrz3tzg9kd1gk3yvrahh,K. Mbappé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2739511053,19,43,1,1,22,3kq9cckrnlogidldtdie2fkbl,1,0,0,2024-10-26T19:03:08.536Z,2024-10-26T19:03:23Z,5315939831,56,Center,5315939833,346,0,5315940603,144,5,,,,,,,,,,,,,,,,5e9ilgrz3tzg9kd1gk3yvrahh,K. Mbappé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2739511309,18,1,1,1,39,agh9ifb2mw3ivjusgedj7c3fe,1,22.4,26.8,2024-10-26T19:03:25.641Z,2024-10-27T08:11:18Z,5315941223,141,8.2,5315948001,189,,5315941217,241,,5315941225,212,17.5,5315941219,56,Back,5317786239,178,,5315941221,140,33.9,5315941215,5,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,5315941227,213,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2739513253,51,1,1,1,43,agh9ifb2mw3ivjusgedj7c3fe,1,31.3,9.1,2024-10-26T19:03:29.578Z,2024-10-27T08:11:19Z,5315951549,56,Back,5315951647,189,,5315951553,141,20.4,5315951555,212,18.2,5315951557,213,2.71,5317786253,178,,5315951551,140,15.6,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2739511335,19,1,1,1,49,agh9ifb2mw3ivjusgedj7c3fe,0,8.8,19.2,2024-10-26T19:03:35.314Z,2024-10-27T08:11:23Z,5317786409,178,,5315941425,233,20,5315941429,286,,5315941423,236,,5315941407,213,5.64,5315941399,56,Back,5315941403,141,17.8,5315941405,212,1.6,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,5315941401,140,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2739511315,20,74,1,1,49,3kq9cckrnlogidldtdie2fkbl,1,90.4,88.1,2024-10-26T19:03:35.368Z,2024-10-27T08:11:26Z,5317786579,178,,5315941279,285,,5315941277,56,Left,5315941433,233,19,,,,,,,,,,,,,b4witgokm49tidm1a83qcvbop,Vinícius Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Madrid
2739511357,20,5,1,1,50,agh9ifb2mw3ivjusgedj7c3fe,1,12.4,-1.4,2024-10-26T19:03:36.742Z,2024-10-27T08:11:29Z,5315941521,347,,5315941527,233,21,5315941519,56,Back,,,,,,,,,,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
