id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,teamName
2714310443,17,5,1,0,58,3budh3j9xivsid3ptm8ptpy4k,0,36,102,2024-08-27T19:31:57.377Z,2024-08-28T05:20:43Z,5178037359,347,,5178037357,56,Back,5178037609,233,12,,,,,,,,,,,,,,,,533095rnz0k8mxqe6gzn0mfo5,F. Lejeune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2714310501,13,1,1,1,1,agh9ifb2mw3ivjusgedj7c3fe,1,67.2,0,2024-08-27T19:32:00.516Z,2024-08-28T05:20:44Z,5178037761,107,,5178037763,56,Right,5178037765,140,71.9,5178037769,212,12.7,5178037767,141,15.2,5178037771,213,1.17,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2714310539,14,1,1,1,2,agh9ifb2mw3ivjusgedj7c3fe,1,71.9,15.2,2024-08-27T19:32:01.782Z,2024-08-28T05:20:48Z,5178037973,56,Right,5178037975,140,71.1,5178037977,141,4.3,5178037981,213,4.6,5178037979,212,7.5,5178875071,178,,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2714310599,15,1,1,1,5,agh9ifb2mw3ivjusgedj7c3fe,1,71.1,4.3,2024-08-27T19:32:04.055Z,2024-08-28T05:20:51Z,5178875077,178,,5178038283,212,7.2,5178038277,140,64.3,5178038279,141,5.6,5178038285,213,3.02,5178038275,56,Right,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2714310631,16,1,1,1,6,agh9ifb2mw3ivjusgedj7c3fe,1,56.2,9.7,2024-08-27T19:32:05.723Z,2024-08-28T05:20:53Z,5178038471,212,18,5178038465,56,Back,5178875095,178,,5178038473,213,2.43,5178038469,141,26.9,5178038467,140,43.2,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2714310681,17,1,1,1,9,agh9ifb2mw3ivjusgedj7c3fe,1,43.5,30.5,2024-08-27T19:32:07.866Z,2024-08-28T05:20:55Z,5178875111,178,,5178038809,56,Back,5178038813,141,71.6,5178038811,140,39.6,5178038817,213,1.72,5178038815,212,28.2,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2714310727,18,1,1,1,12,agh9ifb2mw3ivjusgedj7c3fe,1,35.7,69.2,2024-08-27T19:32:11.230Z,2024-08-28T05:20:57Z,5178039055,56,Back,5178039059,141,36.7,5178875125,178,,5178039061,212,22.2,5178039057,140,33.5,5178039063,213,4.61,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Iñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2714310755,19,1,1,1,16,agh9ifb2mw3ivjusgedj7c3fe,1,31.7,32.2,2024-08-27T19:32:14.909Z,2024-08-28T05:21:22Z,5178039185,56,Back,5178875267,178,,5178039189,141,25.7,5178039187,140,49.5,5178039193,213,6.05,5178039191,212,19.2,,,,,,,bkwxem45cf48k14euwqe7rs44,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2714310819,20,1,1,1,17,agh9ifb2mw3ivjusgedj7c3fe,1,44.6,22.9,2024-08-27T19:32:16.780Z,2024-08-28T05:21:24Z,5178039535,141,9.3,5178875285,178,,5178039539,212,12.9,5178039531,140,53.1,5178039527,56,Right,5178039543,213,5.48,,,,,,,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2714310837,22,4,1,1,21,agh9ifb2mw3ivjusgedj7c3fe,1,51.2,18.2,2024-08-27T19:32:20.300Z,2024-08-28T05:21:38Z,5178039691,295,,5178039693,56,Right,5178039697,286,,5178039695,152,,5178039707,233,19,5178039689,13,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2714310831,19,4,1,1,21,3budh3j9xivsid3ptm8ptpy4k,0,48.8,81.8,2024-08-27T19:32:20.301Z,2024-08-28T05:21:38Z,5178039645,152,,5178039637,13,,5178039647,285,,5178039715,233,22,5178875389,178,,5178039641,295,,5178039643,56,Back,,,,2qauzcv74cd8uqfv2ibl52ymt,A. Espino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
2714310833,21,43,1,1,24,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2024-08-27T19:32:22.972Z,2024-08-27T19:32:27Z,5178039885,144,42,,,,,,,,,,,,,,,,,,,,,,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
2714310989,23,1,1,1,35,agh9ifb2mw3ivjusgedj7c3fe,1,48.9,20.5,2024-08-27T19:32:34.115Z,2024-08-28T05:21:44Z,5178040453,152,,5178040451,5,,5178040463,213,2.34,5178041145,189,,5178040455,56,Back,5178875423,178,,5178040457,140,35.5,5178040461,212,20.2,cscn06kwqfzo09h0dc5ybt1pl,Jules Koundé,5178040459,141,,,,,,,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona
